
1.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
3.158.19	ΗΕ ἐστὶν ἴσα· ἔστι δὲ καὶ ἁ 
3.158.20	ΗΓ τᾷ ΗΔ ἴσα· κοινὰ 
3.158.21	ἀφαιρήσθω ἁ ΖΗ, τουτέστιν 
3.158.22	ἁ ΗΕ· λοιπὰ ἄρα ἁ ΖΓ 
3.158.23	λοιπᾷ τᾷ ΕΔ ἐστὶν ἴσα· 
3.158.24	φανερὸν οὖν ὃ ἔδει δεῖξαι.  
3.159.1	    ιδʹ. 
3.159.2	  Εἴ κα ἐν ἁμικυκλίῳ ἀπὸ 
3.159.3	τῶν περάτων τᾶς διαμέτρου 
3.159.4	δύο ἴσα τμάματα λαφθέωντι 
3.159.5	καὶ ἀπὸ τούτων ἁμικύκλια 
3.159.6	ἐντὸς γραφέωντι, γραφῇ δὲ 
3.159.7	ἀπὸ τοῦ λοιποῦ τμάματος 
3.159.8	τᾶς διαμέτρου ἁμικύκλιον 
3.159.9	ἐκτός, ὁ κύκλος, οὗ διάμε-
3.159.10	τρος συναμφότερος ἁ ἐκ 
3.159.11	τοῦ κέντρου τοῦ ἁμικυκλίου 
3.159.12	καὶ ἁ ἐκ τοῦ κέντρου τοῦ 
3.159.13	ἐκτός, χωρίῳ τῷ περιεχο-
3.159.14	μένῳ ὑπὸ τῶν περιφερειῶν 
3.159.15	τῶν ἁμικυκλίων, ὅπερ σελή-
3.159.16	νιον καλείσθω, ἴσος ἐστίν. 
3.159.17	  Ἔστω ἁμικύκλιον, οὗ διά-
3.159.18	μετρος ἁ ΑΒ, καὶ ἀπὸ τῶν 
3.159.19	περάτων τᾶς διαμέτρου τῶν 
3.159.20	Α, Β δύο τμάματα ἴσα 
3.159.21	ἀλλάλοις λελάφθω τὰ ΑΓ, 
3.159.22	ΒΔ, γεγράφθω δὲ ἀπὸ τῶν 
3.159.23	τμαμάτων δύο ἁμικύκλια 
3.159.24	ἐντός, καὶ ἀπὸ τοῦ λοιποῦ 
3.159.25	τμάματος τοῦ ΓΔ γεγράφθω 
3.159.26	ἁμικύκλιον ἐκτός, διὰ κέν-
3.159.27	τρου δὲ τοῦ ἁμικυκλίου 
3.159.28	τοῦ Ε διαμέτρῳ τᾷ ΑΒ ἄχθω 
3.159.29	ποτ' ὀρθὰς εὐθεῖα ἁ ΕΖ 
3.159.30	καὶ ἐκβεβλήσθω ἐπὶ τὸ Η 
3.159.31	σαμεῖον· φαμὶ δή, ὁ κύκλος,  
3.160.1	οὗ διάμετρος ἁ ΖΗ, χωρίῳ 
3.160.2	τῷ περιεχομένῳ ὑπὸ τῶν 
3.160.3	περιφερειῶν τῶν ἁμικυ-
3.160.4	κλίων, ὅπερ σελήνιον κα-
3.160.5	λείσθω, ἴσος ἐστίν.  
3.160.6	  Ἐπεὶ γὰρ εὐθεῖα γραμμὰ 
3.160.7	ἁ ΔΓ δίχα τέτμαται κατὰ 
3.160.8	τὸ Ε σαμεῖον, ποτίκειται 
3.160.9	δὲ αὐτᾷ εὐθεῖα ἐπ' εὐθείας 
3.160.10	ἁ ΓΑ, τὸ ἀπὸ τᾶς ΔΑ καὶ 
3.160.11	τὸ ἀπὸ τᾶς ποτικειμένας 
3.160.12	τᾶς ΓΑ τὰ συναμφότερα 
3.160.13	τετράγωνα διπλασίονά ἐντι 
3.160.14	τοῦ τε ἀπὸ τᾶς ἁμισείας τᾶς 
3.160.15	ΔΕ καὶ τοῦ ἀπὸ τᾶς ΕΑ 
3.160.16	τετραγώνου. Ἔστι δὲ ἁ ΖΗ 
3.160.17	τᾷ ΔΑ ἴσα· ἔστιν ἄρα 
3.160.18	καὶ τὰ ἀπὸ τῶν ΖΗ, ΓΑ 
3.160.19	διπλασίονα τοῦ τε ἀπὸ τᾶς 
3.160.20	ΔΕ καὶ τοῦ ἀπὸ τᾶς ΕΑ. 
3.160.21	Καὶ ἐπεὶ ἁ ΑΒ τᾶς ΑΕ 
3.160.22	διπλασίων ἐστὶ καὶ ἁ ΓΔ  
3.161.1	τᾶς ΔΕ, ἐσσεῖται καὶ τὰ ἀπὸ 
3.161.2	τῶν ΑΒ, ΓΔ τοῖς ἀπὸ τῶν 
3.161.3	ΔΕ, ΕΑ τετραπλασίονα, 
3.161.4	τουτέστι τοῖς ἀπὸ τῶν ΖΗ, 
3.161.5	ΓΑ διπλασίονα· κύκλοι 
3.161.6	ἄρα, ὧν διάμετροι αἱ ΑΒ, 
3.161.7	ΔΓ εὐθεῖαι, κύκλων, ὧν 
3.161.8	διάμετροι αἱ ΖΗ, ΓΑ, διπλα-
3.161.9	σίονές ἐντι· ἁμικύκλια ἄρα, 
3.161.10	ὧν διάμετροι αἱ ΑΒ, ΔΓ 
3.161.11	εὐθεῖαι, κύκλοις, ὧν διά-
3.161.12	μετροι αἱ ΖΗ, ΓΑ, ἴσα 
3.161.13	ἐστίν· κοινὸν ἀφαιρήσθω 
3.161.14	κύκλος, οὗ διάμετρος ἁ ΑΓ, 
3.161.15	τουτέστι δύο ἁμικύκλια, ὧν 
3.161.16	διάμετροι αἱ ΑΓ, ΔΒ· λοι-
3.161.17	πὸν ἄρα χωρίον τὸ ὑπὸ τῶν 
3.161.18	περιφερειῶν τῶν ἁμικυκλίων 
3.161.19	περιεχόμενον, ὅπερ σελή-
3.161.20	νιον καλεῖται, κύκλῳ, οὗ 
3.161.21	διάμετρος ἁ ΖΗ, ἴσον ἐστίν· 
3.161.22	δῆλον οὖν τὸ προτεθέν. 
3.161.23	    ιεʹ. 
3.161.24	  Ἔστω ἁμικύκλιον τὸ ΑΒ 
3.161.25	καὶ ἁ ΑΓ πλευρὰ τοῦ 
3.161.26	ἐγγεγραμμένου ἰσοπλεύρου 
3.161.27	τε καὶ ἰσογωνίου πεντα-
3.161.28	γώνου, τετμάσθω δὲ περι-
3.161.29	φέρεια ἁ ΑΓ δίχα κατὰ τὸ 
3.161.30	Δ, ἐπιζευχθεῖσα δὲ ἁ ΓΔ 
3.161.31	ἐκβεβλήσθω ἐπὶ τὸ Ε, καὶ  
3.162.1	ἀπὸ τοῦ Δ σαμείου διάχθω 
3.162.2	ἁ ΔΒ τέμνουσα πλευρὰν 
3.162.3	τὰν ΑΓ κατὰ τὸ Ζ, καὶ ἀπὸ 
3.162.4	τοῦ Ζ ἄχθω τᾷ ΑΒ ποτ' 
3.162.5	ὀρθὰς ἁ ΖΗ· φαμὶ δή, 
3.162.6	εὐθεῖα ἁ ΕΗ τᾷ ἐκ τοῦ 
3.162.7	κέντρου τοῦ κύκλου ἴσα 
3.162.8	ἐστίν.  
3.162.9	  Ἐπεζεύχθω γὰρ ἁ ΓΒ, 
3.162.10	καὶ ἔστω κέντρον τοῦ κύ-
3.162.11	κλου τὸ Θ σαμεῖον, καὶ 
3.162.12	ἄχθωσαν αἱ ΘΔ, ΔΗ, ΑΔ 
3.162.13	εὐθεῖαι. Ἐπεὶ οὖν γωνία ἁ 
3.162.14	ὑπὸ ΑΒΓ δύο πέμπτα ὀρθᾶς 
3.162.15	ἐστιν, γωνία ἁ ὑπὸ ΓΒΔ, 
3.162.16	τουτέστι ἁ ὑπὸ ΔΒΑ, ἓν 
3.162.17	πεμπταμόριον ὀρθᾶς ἐστιν· 
3.162.18	γωνία ἄρα ἁ ὑπὸ ΔΘΑ δύο 
3.162.19	πέμπτα ὀρθᾶς ἐστιν. Καὶ 
3.162.20	ἐπεὶ ἐν δυσὶ τριγώνοις τοῖς 
3.162.21	ΓΒΖ, ΗΒΖ δύο γωνίαι αἱ 
3.162.22	ποτὶ τῷ Β ἴσαι ἀλλάλαις 
3.162.23	ἐντί, ὀρθαὶ δὲ αἱ ποτὶ τὰ Η, 
3.162.24	Γ σαμεῖα, κοινὰ δὲ πλευρὰ 
3.162.25	ἁ ΒΖ, ἐσσεῖται ἄρα καὶ  
3.163.1	βάσις ἁ ΒΓ βάσει τᾷ ΒΗ 
3.163.2	ἴσα. Πάλιν ἐπεὶ ἐν δυσὶ 
3.163.3	τριγώνοις τοῖς ΓΒΔ, ΗΒΔ 
3.163.4	δύο πλευραὶ αἱ ΓΒ, ΒΗ 
3.163.5	ἴσαι ἀλλάλαις ἐντί, γωνίαι 
3.163.6	δὲ αἱ ποτὶ τῷ Β ἴσαι, κοινὰ 
3.163.7	δὲ πλευρὰ ἁ ΒΔ, ἐσσεῖται 
3.163.8	ἄρα γωνία ἁ ὑπὸ ΒΓΔ γωνίᾳ 
3.163.9	τᾷ ὑπὸ ΒΗΔ, τουτέστιν 
3.163.10	ἐπιπέμπτῳ ὀρθᾶς, ἴσα· ἔστι 
3.163.11	δὲ ἑκατέρα τῶν ὑπὸ ΒΓΔ, 
3.163.12	ΒΗΔ γωνιῶν γωνίᾳ τᾷ ἐκτὸς 
3.163.13	τοῦ ἐν τῷ κύκλῳ τετραπλεύ-
3.163.14	ρου τοῦ ΒΑΔΓ, τουτέστι 
3.163.15	τᾷ ΔΑΕ, ἴσα· γωνία ἄρα ἁ 
3.163.16	ὑπὸ ΔΑΒ γωνίᾳ τᾷ ὑπὸ 
3.163.17	ΔΗΑ ἔστιν ἴσα, καὶ πλευρὰ 
3.163.18	ἁ ΔΑ τᾷ ΔΗ. Καὶ ἐπεὶ 
3.163.19	γωνία ἁ ὑπὸ ΔΘΗ β̅εʹ ὀρθᾶς 
3.163.20	ἐστι καὶ ἁ ὑπὸ ΔΗΘ ἐπί-
3.163.21	πεμπτος ὀρθᾶς, γωνία ἄρα 
3.163.22	ἁ ὑπὸ ΘΔΗ β̅εʹ ὀρθᾶς 
3.163.23	ἐστιν· πλευρὰ ἄρα ἁ ΔΗ 
3.163.24	πλευρᾷ τᾷ ΗΘ ἐστὶν ἴσα. 
3.163.25	Πάλιν, ἐπεὶ γωνία ἁ ὑπὸ 
3.163.26	ΑΔΕ τοῦ ἐν τῷ κύκλῳ 
3.163.27	τετραπλεύρου τοῦ ΑΔΓΒ 
3.163.28	ἐκτός ἐστιν, ἐσσεῖται ἄρα 
3.163.29	γωνία ἁ ὑπὸ ΑΔΕ γωνίᾳ 
3.163.30	τᾷ ὑπὸ ΑΒΓ ἴσα· ἔστι 
3.163.31	δὲ γωνία ἁ ὑπὸ ΑΒΓ β̅γʹ 
3.163.32	ὀρθᾶς· γωνία ἄρα ἁ ὑπὸ 
3.163.33	ΑΔΕ γωνίᾳ τᾷ ὑπὸ ΗΔΘ  
3.164.1	ἐστὶν ἴσα. Καὶ ἐπεὶ ἐν δυσὶ 
3.164.2	τριγώνοις τοῖς ΕΔΑ, ΘΔΗ 
3.164.3	δύο γωνίαι αἱ ὑπὸ ΕΔΑ, 
3.164.4	ΔΑΕ δυσὶ ταῖς ὑπὸ ΘΔΗ, 
3.164.5	ΔΗΘ ἑκατέρα ἑκατέρᾳ ἴσαι 
3.164.6	ἐντί, βάσις δὲ ἁ ΔΑ βάσει 
3.164.7	τᾷ ΔΗ ἴσα, πλευρὰ ἄρα ἁ 
3.164.8	ΕΑ πλευρᾷ τᾷ ΘΗ ἴσα ἐστίν. 
3.164.9	Κοινὰ ποτικείσθω ἁ ΑΗ· 
3.164.10	εὐθεῖα ἄρα ἁ ΕΗ εὐθείᾳ τᾷ 
3.164.11	ΑΘ, τουτέστι τᾷ ἐκ τοῦ 
3.164.12	κέντρου τοῦ κύκλου, ἴσα 
3.164.13	ἐστίν· δέδεικται οὖν τὸ 
3.164.14	προτεθέν. 
3.164.15t	{ΠΟΡΙΣΜΑ} 
3.164.16	  Ἐκ τούτου δὴ φανερὸν 
3.164.17	ὅτι εὐθεῖα ἁ ΔΕ τᾷ ἐκ τοῦ 
3.164.18	κέντρου τοῦ κύκλου ἐστὶν 
3.164.19	ἴσα. Ἐπεὶ γὰρ γωνία ἁ 
3.164.20	ὑπὸ ΔΑΕ γωνίᾳ τᾷ ὑπὸ 
3.164.21	ΔΗΘ ἴσα ἐστίν, ἐσσεῖται καὶ 
3.164.22	πλευρὰ ἁ ΔΘ πλευρᾷ τᾷ 
3.164.23	ΔΕ, τουτέστι τᾷ ΑΘ, ἴσα. 
3.164.24t	{ΠΟΡΙΣΜΑ} 
3.164.25	  Καὶ ἔτι δῆλον ὅτι εὐθεῖα 
3.164.26	ἁ ΑΓ ἄκρον καὶ μέσον 
3.164.27	τέτμαται κατὰ τὸ Δ σαμεῖον· 
3.164.28	τμᾶμα δὲ τὸ ΔΕ τὸ μεῖζόν 
3.164.29	ἐστιν, ἐπεὶ ἁ ΕΔ πλευρὰ 
3.164.30	τοῦ ἑξαγώνου, ἁ δὲ ΔΓ 
3.164.31	πλευρὰ τοῦ δεκαγώνου τῶν 
3.164.32	ἐν τῷ κύκλῳ ἐγγραφομένων.  
3.170.1t	{Πρόβλημα.} 
3.170.1	ὅπερ Ἀρχιμήδης ἐν ἐπιγράμμασιν εὑρὼν τοῖς ἐν Ἀλεξαν-
3.170.2	δρείᾳ περὶ ταῦτα πραγματευομένοις ζητεῖν ἀπέστειλεν 
3.170.3	ἐν τῇ πρὸς Ἐρατοσθένην τὸν Κυρηναῖον ἐπιστολῇ. 
3.170.4	  Πληθὺν Ἠελίοιο βοῶν, ὦ ξεῖνε, μέτρησον 
3.170.5	  φροντίδ' ἐπιστήσας, εἰ μετέχεις σοφίης, 
3.170.6	  πόσση ἄρ' ἐν πεδίοις Σικελῆς ποτ' ἐβόσκετο νήσου 
3.170.7	  Θρινακίης τετραχῇ στίφεα δασσαμένη 
3.170.8	  χροιὴν ἀλάσσοντα· τὸ μὲν λευκοῖο γάλακτος, 
3.170.9	  κυανέῳ δ' ἕτερον χρώματι λαμπόμενον, 
3.170.10	  ἄλλο γε μὲν ξανθόν, τὸ δὲ ποικίλον. Ἐν δὲ ἑκάστῳ 
3.170.11	  στίφει ἔσαν ταῦροι πλήθεσι βριθόμενοι 
3.170.12	  συμμετρίης τοιῆσδε τετευχότες· ἀργότριχας μὲν 
3.170.13	  κυανέων ταύρων ἡμίσει ἠδὲ τρίτῳ 
3.170.14	  καὶ ξανθοῖς σύμπασιν ἴσους, ὦ ξεῖνε, νόησον, 
3.170.15	  αὐτὰρ κυανέους τῷ τετράτῳ τε μέρει 
3.170.16	  μικτοχρόων καὶ πέμπτῳ, ἔτι ξανθοῖσί τε πᾶσιν. 
3.170.17	  Τοὺς δ' ὑπολειπομένους ποικιλόχρωτας ἄθρει 
3.170.18	  ἀργεννῶν ταύρων ἕκτῳ μέρει ἑβδομάτῳ τε 
3.170.19	  καὶ ξανθοῖς αὐτοὺς πᾶσιν ἰσαζομένους. 
3.170.20	  Θηλείαισι δὲ βουσὶ τάδ' ἔπλετο· λευκότριχες μὲν 
3.170.21	  ἦσαν συμπάσης κυανέης ἀγέλης 
3.170.22	  τῷ τριτάτῳ τε μέρει καὶ τετράτῳ ἀτρεκὲς ἶσαι·  
3.171.1	  αὐτὰρ κυάνεαι τῷ τετράτῳ τε πάλιν 
3.171.2	  μικτοχρόων καὶ πέμπτῳ ὁμοῦ μέρει ἰσάζοντο 
3.171.3	  σὺν ταύροις πάσαις εἰς νομὸν ἐρχομέναις. 
3.171.4	  Ξανθοτρίχων δ' ἀγέλης πέμπτῳ μέρει ἠδὲ καὶ ἕκτῳ 
3.171.5	  ποικίλαι ἰσάριθμον πλῆθος ἔχον τετραχῇ. 
3.171.6	  Ξανθαὶ δ' ἠριθμεῦντο μέρους τρίτου ἡμίσει ἶσαι 
3.171.7	  ἀργεννῆς ἀγέλης ἑβδομάτῳ τε μέρει. 
3.171.8	  Ξεῖνε, σὺ δ' Ἠελίοιο βόες πόσαι ἀτρεκὲς εἰπών, 
3.171.9	  χωρὶς μὲν ταύρων ζατρεφέων ἀριθμόν, 
3.171.10	  χωρὶς δ' αὖ θήλειαι ὅσαι κατὰ χροιὰν ἕκασται, 
3.171.11	  οὐκ ἄιδρίς κα λέγοι' οὐδ' ἀριθμῶν ἀδαής, 
3.171.12	  οὐ μὴν πώ γε σοφοῖς ἐναρίθμιος. Ἀλλ' ἴθι φράζευ 
3.171.13	  καὶ τάδε πάντα βοῶν Ἠελίοιο πάθη. 
3.171.14	  Ἀργότριχες ταῦροι μὲν ἐπεὶ μιξαίατο πληθὺν 
3.171.15	  κυανέοις, ἵσταντ' ἔμπεδον ἰσόμετροι 
3.171.16	  εἰς βάθος εἰς εὖρός τε, τὰ δ' αὖ περιμήκεα πάντη 
3.171.17	  πίμπλαντο πλίνθου Θρινακίης πεδία. 
3.171.18	  Ξανθοὶ δ' αὖτ' εἰς ἓν καὶ ποικίλοι ἀθροισθέντες 
3.171.19	  ἵσταντ' ἀμβολάδην ἐξ ἑνὸς ἀρχόμενοι 
3.171.20	  σχῆμα τελειοῦντες τὸ τρικράσπεδον οὔτε προσόντων 
3.171.21	  ἀλλοχρόων ταύρων οὔτ' ἐπιλειπομένων. 
3.171.22	  Ταῦτα συνεξευρὼν καὶ ἐνὶ πραπίδεσσιν ἀθροίσας 
3.171.23	  καὶ πληθέων ἀποδούς, ξεῖνε, τὰ πάντα μέτρα 
3.171.24	  ἔρχεο κυδιόων νικηφόρος ἴσθι τε πάντως 
3.171.25	  κεκριμένος ταύτῃ γ' ὄμπνιος ἐν σοφίῃ. 
3.171.26t	{Σχόλιον} 
3.171.27	  Τὸ μὲν οὖν πρόβλημα διὰ τοῦ ποιήματος ὁ Ἀρχιμήδης 
3.171.28	ἐδήλωσε σαφῶς· ἰστέον δὲ λεγόμενον, ὅτι τέσσαρας  
3.172.1	ἀγέλας εἶναι δεῖ βοῶν, λευκοτρίχων μὲν μίαν ταύρων 
3.172.2	καὶ θηλειῶν, ὧν τὸ πλῆθος ὁμοῦ συνάγει μυριάδας διπλᾶς 
3.172.3	ιδʹ καὶ ἁπλᾶς φπβʹ καὶ μονάδας ͵ζτξʹ, κυανοχρόων 
3.172.4	δ' ἄλλην ὁμοῦ ταύρων καὶ θηλειῶν, ὧν τὸ πλῆθός ἐστι 
3.172.5	μυριάδων διπλῶν ἐννέα καὶ ἁπλῶν ͵ηωλʹ καὶ μονάδων ωʹ, 
3.172.6	μιξοτρίχων δ' ἄλλην ταύρων καὶ θηλειῶν, ὧν τὸ πλῆθός 
3.172.7	ἐστι μυριάδων διπλῶν ηʹ καὶ ἁπλῶν ͵⸕ϠϘαʹ καὶ μονάδων 
3.172.8	υʹ· τῆς δὲ λοιπῆς ἀγέλης ξανθοχρόων συνάγει τὸ πλῆθος 
3.172.9	διπλᾶς μυριάδας ζʹ καὶ ἁπλᾶς ͵Ϛψηʹ, μονάδας δὲ ͵η· 
3.172.10	ὥστε συνάγεσθαι ὁμοῦ τὸ πλῆθος τῶν δ' ἀγελῶν μυριάδας 
3.172.11	διπλᾶς μʹ καὶ ἁπλᾶς ͵γριβʹ καὶ μονάδας ͵Ϛφξʹ. Καὶ 
3.172.12	ἡ μὲν ἀγέλη τῶν λευκοτρίχων ταύρων ἔχει μυριάδας 
3.172.13	διπλᾶς ηʹ καὶ ἁπλᾶς ͵βϠλαʹ καὶ μονάδας ͵ηφξʹ, θηλειῶν 
3.172.14	δὲ μυριάδας διπλᾶς εʹ καὶ ἁπλᾶς ͵ζχνʹ καὶ μονάδας 
3.172.15	͵ηωʹ, ἡ δὲ ἀγέλη τῶν κυανοχρόων ταύρων ἔχει μὲν μυριάδας 
3.172.16	διπλᾶς εʹ καὶ ἁπλᾶς ͵θχπδʹ καὶ μονάδας ͵αρκʹ, θηλειῶν 
3.172.17	δὲ μυριάδας διπλᾶς γʹ καὶ ἁπλᾶς ͵θρμεʹ καὶ μονάδας 
3.172.18	͵θχπʹ, ἡ δ' ἀγέλη τῶν ποικιλοτρίχων ταύρων ἔχει μὲν 
3.172.19	μυριάδας διπλᾶς εʹ καὶ ἁπλᾶς ͵ηωξδʹ καὶ μονάδας ͵δωʹ, 
3.172.20	θηλειῶν δὲ μυριάδας διπλᾶς βʹ καὶ ἁπλᾶς ͵ηρκϚʹ καὶ 
3.172.21	μονάδας ͵εχʹ, ἡ δ' ἀγέλη τῶν ξανθοχρωμάτων ταύρων 
3.172.22	ἔχει μὲν μυριάδας διπλᾶς γʹ καὶ ἁπλᾶς ͵γρϘεʹ καὶ μονάδας 
3.172.23	Ϡξʹ, θηλειῶν δὲ μυριάδας διπλᾶς δʹ καὶ ἁπλᾶς ͵γφιγʹ  
3.173.1	καὶ μονάδας ͵ζμʹ. Καί ἐστι τὸ πλῆθος τῶν λευκοτρίχων 
3.173.2	ταύρων ἴσον τῷ ἡμίσει καὶ τρίτῳ μέρει τοῦ πλήθους τῶν 
3.173.3	κυανοχρόων ταύρων καὶ ἔτι ὅλῃ τῇ τῶν ξανθοχρωμάτων 
3.173.4	ἀγέλῃ, τὸ δὲ πλῆθος τῶν κυανοχρωμάτων ἴσον τῷ τετάρτῳ 
3.173.5	καὶ πέμπτῳ μέρει τῶν ποικιλοτρίχων ταύρων καὶ ὅλῳ 
3.173.6	τῷ πλήθει τῶν ξανθοχρωμάτων, τὸ δὲ πλῆθος τῶν ποικι-
3.173.7	λοτρίχων ταύρων ἴσον τῷ ἕκτῳ καὶ ἑβδόμῳ μέρει τῶν 
3.173.8	λευκοτρίχων ταύρων καὶ ἔτι τῷ πλήθει ὅλῳ τῶν ξανθοχρω-
3.173.9	μάτων ταύρων, καὶ πάλιν τὸ πλῆθος τῶν λευκῶν θηλειῶν 
3.173.10	ἴσον τῷ τρίτῳ καὶ τετάρτῳ μέρει ὅλης τῆς ἀγέλης τῶν 
3.173.11	κυανοχρόων, τὸ δὲ τῶν κυανοχρόων ἴσον τῷ τετάρτῳ 
3.173.12	καὶ πέμπτῳ μέρει τῆς ὅλης ἀγέλης τῶν ποικιλοτρίχων, 
3.173.13	τὸ δὲ τῶν ποικιλοτρίχων ἴσον τῷ πέμπτῳ καὶ ἕκτῳ μέρει 
3.173.14	τῆς ὅλης τῶν ξανθῶν βοῶν. Πάλιν δὲ τὸ τῶν ξανθῶν 
3.173.20	θηλειῶν πλῆθος ἦν ἴσον τῷ ἕκτῳ τε καὶ ἑβδόμῳ μέρει 
3.173.21	τῆς ὅλης ἀγέλης τῶν λευκῶν βοῶν. Καὶ ἡ μὲν ἀγέλη τῶν 
3.173.22	λευκοτρίχων ταύρων καὶ ἡ τῶν κυανοχρόων ταύρων 
3.173.23	συντεθεῖσα ποιεῖ τετράγωνον ἀριθμόν, ἡ δ' ἀγέλη τῶν 
3.173.24	ξανθοτρίχων ταύρων μετὰ τῆς ἀγέλης τῶν ποικιλοχρόων 
3.173.25	συντεθεῖσα ποιεῖ τρίγωνον, ὡς ἔχει τὰ τῶν ὑποκειμένων 
3.173.26	κανόνων καθ' ἕκαστον χρῶμα.  
.1-3t.1	{DE POLYEDRIS.} 
.1.1	  Pappus V, 34 p. 352. ταῦτα δ' ἐστὶν οὐ μόνον τὰ 
.1.2	παρὰ τῷ θειοτάτῳ Πλάτωνι πέντε σχήματα, τουτέστιν 
.1.3	τετράεδρόν τε καὶ ἑξάεδρον, ὀκτάεδρόν τε καὶ δωδε-
.1.4	κάεδρον, πέμπτον δ' εἰκοσάεδρον, ἀλλὰ καὶ <τὰ ὑπὸ 
.1.5	Ἀρχιμήδους εὑρεθέντα τρισκαίδεκα τὸν ἀριθ-
.1.6	μὸν> ὑπὸ ἰσοπλεύρων μὲν καὶ ἰσογωνίων, οὐχ ὁμοίων 
.1.7	δέ, πολυγώνων περιεχόμενα. 
.1.8	  τὸ μὲν γὰρ πρῶτον ὀκτάεδρόν ἐστιν περιεχόμενον 
.1.9	ὑπὸ τριγώνων δ̅ καὶ ἑξαγώνων δ̅. 
.1.10	  τρία δὲ μετὰ τοῦτο τεσσαρεσκαιδεκάεδρα, ὧν τὸ 
.1.11	μὲν πρῶτον περιέχεται τριγώνοις η̅ καὶ τετραγώνοις Ϛ̅, 
.1.12	τὸ δὲ δεύτερον τετραγώνοις Ϛ̅ καὶ ἑξαγώνοις η̅, τὸ 
.1.13	δὲ τρίτον τριγώνοις η̅ καὶ ὀκταγώνοις Ϛ̅. 
.1.14	  μετὰ δὲ ταῦτα ἑκκαιεικοσάεδρά ἐστιν δύο, ὧν τὸ 
.1.15	μὲν πρῶτον περιέχεται τριγώνοις η̅ καὶ τετραγώνοις 
.1.16	ι̅η̅, τὸ δὲ δεύτερον τετραγώνοις ι̅β̅, ἑξαγώνοις η̅ καὶ 
.1.17	ὀκταγώνοις Ϛ̅.  
.1.18	  μετὰ δὲ ταῦτα δυοκαιτριακοντάεδρά ἐστιν τρία, ὧν 
.1.19	τὸ μὲν πρῶτον περιέχεται τριγώνοις κ̅ καὶ πενταγώ-
.1.20	νοις ι̅β̅, τὸ δὲ δεύτερον πενταγώνοις ι̅β̅ καὶ ἑξαγώ-
.1.21	νοις κ̅, τὸ δὲ τρίτον τριγώνοις κ̅ καὶ δεκαγώνοις ι̅β̅. 
.1.22	  μετὰ δὲ ταῦτα ἕν ἐστιν ὀκτωκαιτριακοντάεδρον περι-
.1.23	εχόμενον ὑπὸ τριγώνων λ̅β̅ καὶ τετραγώνων Ϛ̅. 
.1.24	  μετὰ δὲ τοῦτο δυοκαιεξηκοντάεδρά ἐστι δύο, ὧν τὸ 
.1.25	μὲν πρῶτον περιέχεται τριγώνοις κ̅ καὶ τετραγώνοις λ̅ 
.1.26	καὶ πενταγώνοις ι̅β̅, τὸ δὲ δεύτερον τετραγώνοις λ̅ 
.1.27	καὶ ἑξαγώνοις κ̅ καὶ δεκαγώνοις ι̅β̅. 
.1.28	  μετὰ δὲ ταῦτα τελευταῖόν ἐστιν δυοκαιενενηκον-
.1.29	τάεδρον, ὃ περιέχεται τριγώνοις π̅ καὶ πενταγώνοις ι̅β̅. 
.1.30	  ὅσας δὲ γωνίας ἕκαστον ἔχει στερεὰς τῶν ι̅γ̅ τού-
.1.31	των σχημάτων πολυέδρων καὶ ὅσας πλευράς, <διὰ τοῦδε 
.1.32	τοῦ τρόπου> θεωρεῖται· ὅσων μὲν γὰρ ἁπλῶς <πολυ-
.1.33	έδρων> αἱ στερεαὶ γωνίαι τρισὶν ἐπιπέδοις περιέχονται 
.1.34	γωνίαις, ἐξαριθμηθεισῶν τῶν ἐπιπέδων γωνιῶν, ἃς 
.1.35	ἔχουσιν πᾶσαι αἱ ἕδραι τοῦ πολυέδρου, δῆλον, ὡς ὁ 
.1.36	τῶν στερεῶν γωνιῶν ἀριθμὸς τρίτον μέρος ἐστὶ τοῦ 
.1.37	γενομένου ἀριθμοῦ, ὅσων δὲ πολυέδρων ἡ στερεὰ γω-
.1.38	νία περιέχεται τέσσαρσιν ἐπιπέδοις, ἐξαριθμηθεισῶν 
.1.39	πασῶν τῶν ἐπιπέδων γωνιῶν, ἃς ἔχουσιν αἱ ἕδραι τοῦ 
.1.40	πολυέδρου, τοῦ γενομένου ἀριθμοῦ τὸ τέταρτον μέρος 
.1.41	ἐστὶν ὁ ἀριθμὸς ὁ τῶν στερεῶν γωνιῶν τοῦ πολυέδρου· 
.1.42	ὁμοίως δὲ καί, ὅσων πολυέδρων ἡ στερεὰ γωνία περι-
.1.43	έχεται ὑπὸ ε̅ γωνιῶν ἐπιπέδων, τὸ πέμπτον τοῦ πλή-
.1.44	θους τῶν ἐπιπέδων γωνιῶν ἐστιν ὁ ἀριθμὸς τοῦ πλή-
.1.45	θους τῶν στερεῶν γωνιῶν. 
.1.46	  τῶν δὲ πλευρῶν τὸ πλῆθος, ἃς ἕκαστον ἔχει τῶν 
.1.47	πολυέδρων, τόνδε τὸν τρόπον εὑρήσομεν. ἐξαριθμη-
.1.48	θεισῶν γὰρ πασῶν τῶν πλευρῶν, ἃς ἔχει τὰ ἐπίπεδα  
.1.49	τὰ περιέχοντα τὸ πολύεδρον, ὁ ἀριθμὸς αὐτῶν δῆλον 
